Standardized_Contract,Contract_Type,Group_Name,Exchange_Name,Abbreviated_Name,Country,Region,Year,Month,Report_Year_Month,Volume,Open_Interest
"Euro/Swiss Franc",Future,Currencies,"Chicago Mercantile Exchange",CME,"United States","North America",2017,7,2017-7,46618,12664
"Euro/Swiss Franc",Future,Currencies,"Tokyo Financial Exchange",TFX,Japan,Asia,2017,7,2017-7,9848,402
"Euro/Swiss Franc 125",Future,Currencies,"ICE Futures U.S.",IFUS,"United States","North America",2017,7,2017-7,632,162
EURO/TRY,Option,Currencies,"Budapest Stock Exchange",BSE,Hungary,Europe,2017,7,2017-7,100,3900
"Euro/US Dollar",Future,Currencies,"Tokyo Financial Exchange",TFX,Japan,Asia,2017,7,2017-7,91303,68650
"Euro/US Dollar (Large)",Future,Currencies,"Tokyo Financial Exchange",TFX,Japan,Asia,2017,7,2017-7,251,60
"Euro/US Dollar 125",Future,Currencies,"ICE Futures U.S.",IFUS,"United States","North America",2017,7,2017-7,8612,882
"Euro/US Dollar Cross Currency",Future,Currencies,"Borsa Istanbul",BIST,Turkey,Other,2017,7,2017-7,158683,28344
Eurodollar,Future,"Interest Rates","Chicago Mercantile Exchange",CME,"United States","North America",2017,7,2017-7,40527351,13172945
Eurodollar,Future,"Interest Rates","ICE Futures Europe",IFEU,"United Kingdom",Europe,2017,7,2017-7,60,1757
Eurodollar,Future,"Interest Rates","Singapore Exchange",SGX,Singapore,Asia,2017,7,2017-7,0,8335
Eurodollar,Option,"Interest Rates","Chicago Mercantile Exchange",CME,"United States","North America",2017,7,2017-7,6871392,23388603
"Eurodollar - Mid-Curve",Option,"Interest Rates","Chicago Mercantile Exchange",CME,"United States","North America",2017,7,2017-7,9917397,13646991
"European 1% Fuel Oil Barges FOB Rotterdam (Platts) (UH)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,10,10
"European 1% Fuel Oil Cargoes FOB MED (Platts) (EFM)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,102,59
"European 1% Fuel Oil Cargoes FOB MED vs. European 1% Fuel Oil Cargoes FOB NWE Spread (Platts) (ENS)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,40,85
"European 1% Fuel Oil Cargoes FOB NWE (Platts) (UF)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,73
"European 3.5% Fuel Oil Barges FOB Rotterdam (Platts) (UV)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,3379,9519
"European 3.5% Fuel Oil Barges FOB Rotterdam (Platts) Average Price (Q6)",Option,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,240
"European 3.5% Fuel Oil Barges FOB Rotterdam (Platts) Balance of the Month (KR)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,141,141
"European 3.5% Fuel Oil Cargoes FOB MED (Platts) (UI)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,5,428
"European Diesel 10 PPM Barges FOB Rotterdam (Platts) vs. Low Sulphur Gasoil (ET)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,281
"European Jet Kerosene Cargoes CIF NWE (Platts) (UJ)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,48
"European Low Sulphur Gasoil (100 MT) Bullet (7F)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,3401,1043
"European Low Sulphur Gasoil Brent Crack Spread (GZ)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,5308,22818
"European Low Sulphur Gasoil Brent Crack Spread Balance of the Month (ESB)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,63,63
"European Low Sulphur Gasoil Bullet (BG)",Future,Energy,"New York Mercantile Exchange",NYMEX,"United States","North America",2017,7,2017-7,0,30
