Exchange_Name,Reported_Instrument_Name,Report_Month_Name,Report_Year,Report_Year_Month,Volume,Open_Interest
Budapest Commodity Exchange,BL-55 Flour,October,1995,1995-10,3,
Budapest Commodity Exchange,Ammonium Nitrate,July,2001,2001-07,3,
Singapore Mercantile Exchange,Brent Crude,September,2010,2010-09,3,
Chicago Mercantile Exchange,Boneless Beef Trimmings,August,1998,1998-08,2,
New York Board of Trade,BFP Milk,August,2000,2000-08,2,
New York Board of Trade,BFP Milk,December,2000,2000-12,2,
New York Mercantile Exchange,1% Fuel Oil (Platts) Cargoes FOB MED BALMO Swap (FOM),September,2012,2012-09,2,
Chicago Board of Trade,$25 Dow Jones Industrial Index,January,2012,2012-01,2,
Chicago Board of Trade,$25 Dow Jones Industrial Index,September,2012,2012-09,2,
Chicago Board of Trade,$25 Dow Jones Industrial Index,July,2012,2012-07,2,
Chicago Mercantile Exchange,British Pound/Japanese Yen,October,2007,2007-10,2,
Chicago Board Options Exchange,13 Week Interest Rate (IRX),April,2010,2010-04,2,
Chicago Board Options Exchange,13 Week Interest Rate (IRX),May,2007,2007-05,2,
Chicago Board Options Exchange,13 Week Interest Rate (IRX),March,2007,2007-03,2,
Chicago Board Options Exchange,13 Week Interest Rate (IRX),December,2008,2008-12,2,
Chicago Board Options Exchange,13 Week Interest Rate (IRX),November,2008,2008-11,2,
Chicago Board of Trade,Binary,September,2008,2008-09,2,
Chicago Board Options Exchange,13 Week Interest Rate (IRX),October,2007,2007-10,2,
Nyse Liffe U.S.,"5,000 oz. Silver",April,2010,2010-04,2,
Nyse Liffe U.S.,"5,000 oz. Silver",September,2010,2010-09,2,
Nyse Liffe U.S.,"5,000 oz. Silver",August,2010,2010-08,2,
Nyse Liffe U.S.,"5,000 oz. Silver",December,2010,2010-12,2,
Budapest Commodity Exchange,Ammonium Nitrate,October,2000,2000-10,2,
Budapest Commodity Exchange,Ammonium Nitrate,February,2001,2001-02,2,
Budapest Stock Exchange,Ammonium Nitrate,July,2006,2006-07,2,
Budapest Commodity Exchange,Ammonium Nitrate,September,2001,2001-09,2,
Singapore Mercantile Exchange,Brent Crude,August,2010,2010-08,2,
Montreal Exchange,Banking Index (SXB),June,2009,2009-06,2,
Montreal Exchange,Banking Index (SXB),February,2009,2009-02,2,
Chicago Mercantile Exchange,Boneless Beef Trimmings,December,1997,1997-12,1,
New York Mercantile Exchange,California Oregon Border Electricity,May,2001,2001-05,1,
New York Mercantile Exchange,California Oregon Border Electricity,March,2001,2001-03,1,
New York Mercantile Exchange,California Oregon Border Electricity,December,1999,1999-12,1,
New York Board of Trade,Australian Dollar/New Zealand,March,2003,2003-03,1,
Chicago Mercantile Exchange,British Pound/Japanese Yen,April,2004,2004-04,1,
New York Board of Trade,Australian Dollar/New Zealand,February,2005,2005-02,1,
Chicago Board Options Exchange,10 Year Interest Rate (TNX),January,2011,2011-01,1,
Chicago Board Options Exchange,10 Year Interest Rate (TNX),January,2010,2010-01,1,
Chicago Mercantile Exchange,Argentine FRB Bond,June,1997,1997-06,1,
Chicago Board Options Exchange,13 Week Interest Rate (IRX),May,2008,2008-05,1,
Chicago Board Options Exchange,13 Week Interest Rate (IRX),January,2008,2008-01,1,
Chicago Board Options Exchange,13 Week Interest Rate (IRX),July,2010,2010-07,1,
Chicago Board Options Exchange,13 Week Interest Rate (IRX),February,2008,2008-02,1,
Nyse Liffe U.S.,"5,000 oz. Silver",July,2011,2011-07,1,
Nyse Liffe U.S.,"5,000 oz. Silver",May,2011,2011-05,1,
Nyse Liffe U.S.,"5,000 oz. Silver",March,2011,2011-03,1,
Nyse Liffe U.S.,"5,000 oz. Silver",July,2010,2010-07,1,
Nyse Liffe U.S.,"5,000 oz. Silver",November,2010,2010-11,1,
Budapest Stock Exchange,Ammonium Nitrate,January,2010,2010-01,1,
Budapest Commodity Exchange,Ammonium Nitrate,February,2003,2003-02,1,
ASX 24,Barley,June,2000,2000-06,1,
ASX 24,Barley,October,2000,2000-10,1,
Budapest Commodity Exchange,Ammonium Nitrate,January,2001,2001-01,1,
Budapest Commodity Exchange,Ammonium Nitrate,July,2000,2000-07,1,
Budapest Stock Exchange,Ammonium Nitrate,May,2006,2006-05,1,
Budapest Stock Exchange,Ammonium Nitrate,February,2008,2008-02,1,
Budapest Stock Exchange,Ammonium Nitrate,December,2007,2007-12,1,
Budapest Commodity Exchange,Ammonium Nitrate,June,2005,2005-06,1,
Budapest Commodity Exchange,Ammonium Nitrate,November,2004,2004-11,1,
Budapest Commodity Exchange,Ammonium Nitrate,April,2003,2003-04,1,
Budapest Commodity Exchange,Ammonium Nitrate,November,2003,2003-11,1,
