Standardized_Contract,Contract_Type,Group_Name,Exchange_Name,Parent_Name,Abbreviated_Name,Country,Region,Year,Month,Report_Year_Month,Volume,Open_Interest
"US Dollar/Indian Rupee",Future,Currencies,"National Stock Exchange of India","National Stock Exchange of India",NSE,India,Asia,2017,09,2017-09,37280483,2420502
"US Dollar/Indian Rupee",Option,Currencies,BSE,BSE,"BSE India",India,Asia,2017,09,2017-09,25190851,619621
"US Dollar/Indian Rupee",Option,Currencies,"National Stock Exchange of India","National Stock Exchange of India",NSE,India,Asia,2017,09,2017-09,43097139,3366600
"US Dollar/Japanese Yen",Future,Currencies,"Tokyo Financial Exchange","Tokyo Financial Exchange",TFX,Japan,Asia,2017,09,2017-09,916167,560140
"US Dollar/Japanese Yen (Large)",Future,Currencies,"Tokyo Financial Exchange","Tokyo Financial Exchange",TFX,Japan,Asia,2017,09,2017-09,3254,388
"US Dollar/Norwegian Krone",Future,Currencies,"ICE Futures U.S.","Intercontinental Exchange",IFUS,"United States","North America",2017,09,2017-09,3461,1006
"US Dollar/South African Rand",Future,Currencies,"ICE Futures U.S.","Intercontinental Exchange",IFUS,"United States","North America",2017,09,2017-09,697,181
"US Dollar/Swedish Krona",Future,Currencies,"ICE Futures U.S.","Intercontinental Exchange",IFUS,"United States","North America",2017,09,2017-09,3466,1120
"US Dollar/Swiss Franc",Future,Currencies,"Tokyo Financial Exchange","Tokyo Financial Exchange",TFX,Japan,Asia,2017,09,2017-09,5613,765
"US Midwest Busheling Ferrous Scrap (AMM) (BUS)",Future,Metals,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,50,365
"US Midwest Domestic Hot-Rolled Coil Steel (CRU) Index (HR)",Future,Metals,"New York Mercantile Exchange","CME Group",NYMEX,"United States","North America",2017,09,2017-09,7495,13332
"US SmallCap 2000",Option,Equity,"North American Derivative Exchange","North American Derivative Exchange",NADEX,"United States","North America",2017,09,2017-09,10021,NULL
"US Soybean",Future,Agriculture,"Osaka Dojima Commodity Exchange","Japan Exchange",ODE,Japan,Asia,2017,09,2017-09,240,0
"US Tech 100",Option,Equity,"North American Derivative Exchange","North American Derivative Exchange",NADEX,"United States","North America",2017,09,2017-09,53147,NULL
"US Treasury Note",Future,"Interest Rates",B3,B3,B3,Brazil,"Latin America",2017,09,2017-09,3574,1881
"US Wheat",Future,Agriculture,"ICE Futures U.S.","Intercontinental Exchange",IFUS,"United States","North America",2017,09,2017-09,3,3
"USD Crude Palm Oil",Future,Agriculture,"Chicago Mercantile Exchange","CME Group",CME,"United States","North America",2017,09,2017-09,0,420
"USD Nikkei 225",Future,Equity,"Singapore Exchange","Singapore Exchange",SGX,Singapore,Asia,2017,09,2017-09,71,438
USD/CAD,Future,Currencies,"Budapest Stock Exchange","CEE Stock Exchange Group",BSE,Hungary,Europe,2017,09,2017-09,1783,693
USD/CAD,Future,Currencies,"Moscow Exchange","Moscow Exchange",MOEX,Russia,Europe,2017,09,2017-09,30159,2390
USD/CAD,Option,Currencies,"North American Derivative Exchange","North American Derivative Exchange",NADEX,"United States","North America",2017,09,2017-09,20602,NULL
USD/CHF,Future,Currencies,"Budapest Stock Exchange","CEE Stock Exchange Group",BSE,Hungary,Europe,2017,09,2017-09,200,200
USD/CHF,Future,Currencies,"Moscow Exchange","Moscow Exchange",MOEX,Russia,Europe,2017,09,2017-09,15139,5610
USD/CHF,Option,Currencies,"North American Derivative Exchange","North American Derivative Exchange",NADEX,"United States","North America",2017,09,2017-09,7446,NULL
"USD/CHN FX (RHF)",Future,Currencies,"Taiwan Futures Exchange","Taiwan Futures Exchange",TAIFEX,Taiwan,Asia,2017,09,2017-09,7555,984
USD/CNH,Future,Currencies,"Singapore Exchange","Singapore Exchange",SGX,Singapore,Asia,2017,09,2017-09,279424,16965
USD/CNH,Option,Currencies,"Singapore Exchange","Singapore Exchange",SGX,Singapore,Asia,2017,09,2017-09,91,56
"USD/CNH FX (RHO)",Option,Currencies,"Taiwan Futures Exchange","Taiwan Futures Exchange",TAIFEX,Taiwan,Asia,2017,09,2017-09,1615,2125
"USD/CNT FX (RTF)",Future,Currencies,"Taiwan Futures Exchange","Taiwan Futures Exchange",TAIFEX,Taiwan,Asia,2017,09,2017-09,20923,3882
"USD/CNT FX (RTO)",Option,Currencies,"Taiwan Futures Exchange","Taiwan Futures Exchange",TAIFEX,Taiwan,Asia,2017,09,2017-09,16074,9414
USD/HUF,Future,Currencies,"Budapest Stock Exchange","CEE Stock Exchange Group",BSE,Hungary,Europe,2017,09,2017-09,151343,398401
USD/JPY,Future,Currencies,"Budapest Stock Exchange","CEE Stock Exchange Group",BSE,Hungary,Europe,2017,09,2017-09,12705,11900
USD/JPY,Future,Currencies,"Moscow Exchange","Moscow Exchange",MOEX,Russia,Europe,2017,09,2017-09,211266,12334
USD/JPY,Option,Currencies,"North American Derivative Exchange","North American Derivative Exchange",NADEX,"United States","North America",2017,09,2017-09,164905,NULL
"USD/JPY (Standard)",Future,Currencies,"Singapore Exchange","Singapore Exchange",SGX,Singapore,Asia,2017,09,2017-09,150,0
